Companies House,2,4,10,10+,,ONS,,,,,total,,,,,,
E07000093,1798,939,1650,1970,,E07000093,770,615,1280,2405,5070,,3.70500795933334,3.25478968739721,2.97266559226611,3.21748394421391,3.29446622616159
E07000094,1990,1410,2755,3153,,E07000094,980,775,1870,2860,6485,,3.8119099804201,3.29885307640971,3.14921911265538,3.4401216031878,3.4987239707479
E07000095,1523,941,1983,2023,,E07000095,560,425,1010,1245,3240,,3.51054501020661,3.18269990333604,2.97358962342726,3.2973227142053,3.3059958827708
E07000096,2569,1815,2902,2471,,E07000096,1155,915,1800,2660,6530,,3.81491318127507,3.40976410426635,3.25887662937213,3.46269740810172,3.39287274540208
E07000098,4102,2061,2884,3320,,E07000098,1120,795,1455,2070,5440,,3.73559889969818,3.61299565603235,3.31407799177921,3.45999525604739,3.52113808370404
E07000099,2072,1360,2323,2702,,E07000099,855,720,1475,2575,5625,,3.7501225267834,3.3163897510732,3.13353890837022,3.36604920980024,3.43168534468601
E07000102,1730,1227,2081,2139,,E07000102,745,645,1160,1625,4175,,3.62065647981962,3.23804610312879,3.088844562727,3.31827208021163,3.33021078457153
E07000103,1934,1064,1777,1622,,E07000103,710,555,950,1270,3485,,3.54220278243403,3.28645646974698,3.02694162795903,3.2496874278053,3.21005084987514
E07000105,1608,1109,2029,1943,,E07000105,800,670,1485,2165,5120,,3.70926996097583,3.20628604441243,3.04493154614916,3.30728204703335,3.28847280059978
E07000106,1646,1072,1714,1792,,E07000106,750,575,1190,2025,4540,,3.6570558528571,3.21642983087625,3.03019478535675,3.23401081758718,3.25333800532611
E07000107,1732,988,1453,1152,,E07000107,635,445,860,1120,3060,,3.48572142648158,3.23854788768133,2.99475694458763,3.16226561429802,3.06145247908719
E07000108,1120,835,895,856,,E07000108,440,330,720,1415,2905,,3.46314613672635,3.04921802267018,2.9216864754836,2.95182303531591,2.93247376467715
E07000109,1434,732,1020,950,,E07000109,555,420,725,1080,2780,,3.44404479591808,3.15654915133178,2.86451108105839,3.00860017176192,2.97772360528885
E07000110,2000,1241,2252,2313,,E07000110,1035,780,1645,2715,6175,,3.7906369619317,3.30102999566398,3.09377178149873,3.35256838617931,3.36417563277062
E07000111,2126,1464,2573,2655,,E07000111,955,780,1550,2625,5910,,3.77158748088125,3.32756326018728,3.16554107672237,3.41043978621035,3.42406452541749
E07000112,1986,1208,1920,1340,,E07000112,490,355,805,1435,3085,,3.48925516836926,3.29797924415936,3.08206693428511,3.28330122870355,3.12710479836481
E07000113,1126,638,1210,1271,,E07000113,630,465,1025,1795,3915,,3.59273176639396,3.05153839051533,2.80482067872116,3.08278537031645,3.10414555055401
E07000114,1116,638,1071,977,,E07000114,500,395,860,1240,2995,,3.47639682672533,3.04766419460156,2.80482067872116,3.02978947083186,2.98989456371877
E07000115,1638,1109,1885,2020,,E07000115,760,615,1335,2005,4715,,3.67348169707335,3.2143138974244,3.04493154614916,3.27531135454181,3.30535136944662
